job_1,job_2,bhattacharyya_coefficient
DS,SDE,1488.823866
Finance,PM,1362.356883
EE,PM,1336.383167
DS,EE,1320.992751
EE,SDE,1176.581716
Clerk,CustomerSupport,1156.649638
DS,Finance,1128.236717
EE,Finance,1047.3009
Clerk,PM,1019.075069
CustomerSupport,PM,1004.312516
DS,PM,950.186077
CustomerSupport,Finance,949.0563608
Clerk,Finance,869.6090728
CustomerSupport,EE,867.0641566
PM,SDE,784.978679
Clerk,EE,763.1945445
Finance,SDE,701.5157237
CustomerSupport,DS,618.4902423
CustomerSupport,SDE,505.9277613
Clerk,DS,443.5035482
Clerk,SDE,380.6120641
