job_1,job_2,bhattacharyya_coefficient
Clerk,CustomerSupport,1156.6496382312723
Clerk,DS,443.503548187438
Clerk,EE,763.1945445408338
Clerk,Finance,869.609072826986
Clerk,PM,1019.0750689396634
Clerk,SDE,380.61206411695406
CustomerSupport,DS,618.4902423295747
CustomerSupport,EE,867.0641566071588
CustomerSupport,Finance,949.056360806643
CustomerSupport,PM,1004.3125160953315
CustomerSupport,SDE,505.92776131947915
DS,EE,1320.9927509377756
DS,Finance,1128.2367172230765
DS,PM,950.1860770196464
DS,SDE,1488.8238664571447
EE,Finance,1047.3008999438114
EE,PM,1336.3831666513574
EE,SDE,1176.5817155915904
Finance,PM,1362.3568831863508
Finance,SDE,701.5157236678401
PM,SDE,784.9786789646163
